Code Commune,Nom Commune,Niveau de vie Commune,Niveau de vie Département
81086,Espérausses,14144.0,19094.667744
34004,Agel,14161.0,18686.160053
15209,Saint-Rémy-de-Chaudes-Aigues,14162.0,18692.766897
43128,Malvières,14170.333333,19098.534035
11316,Rivel,14170.5,17599.733068
30283,Saint-Martial,14193.478261,18282.543539
02275,Effry,14194.666667,18111.48719
66006,Ansignan,14196.0,17813.436856
14440,Montamy,14205.333333,19775.127206
95680,Villiers-le-Bel,14212.857143,21296.219805
48144,Sainte-Croix-Vallée-Française,14214.666667,18756.660112
11159,Gaja-la-Selve,14219.166667,17599.733068
58287,Tazilly,14234.666667,18835.593964
58211,Poil,14253.0,18835.593964
11075,Castans,14266.086957,17599.733068
64475,Sainte-Engrâce,14266.153846,20478.793359
02683,Saint-Martin-Rivière,14271.333333,18111.48719
11056,Cabrespine,14295.333333,17599.733068
15068,Faverolles,14302.857143,18692.766897
03050,La Chabanne,14303.333333,18828.862338
19131,Meilhards,14306.190476,19240.725403
07249,Saint-Jeure-d'Andaure,14314.5,19028.097092
09219,Orgibet,14331.0,18463.189424
14296,Le Gast,14336.0,19775.127206
02095,Bohain-en-Vermandois,14338.333333,18111.48719
2B047,Calacuccia,14339.333333,18016.138123
63437,Trémouille-Saint-Loup,14343.846154,20539.456261
15158,Rageade,14345.0,18692.766897
16103,Combiers,14347.333333,19132.751584
93059,Pierrefitte-sur-Seine,14383.0,17192.209405
66119,Mosset,14383.0,17813.436856
09063,Le Bosc,14396.7,18463.189424
2B007,Albertacce,14401.0,18016.138123
43253,Les Vastres,14406.0,19098.534035
24025,Bars,14408.5,18687.801987
57207,Farébersviller,14413.0,20213.474303
87058,Domps,14420.833333,19304.985956
33108,Castillon-la-Bataille,14422.0,20905.253619
43029,La Besseyre-Saint-Mary,14426.0,19098.534035
66068,Escaro,14429.333333,17813.436856
86172,Mouterre-sur-Blourde,14430.0,19527.047285
11064,Camplong-d'Aude,14434.285714,17599.733068
24363,Saint-Amand-de-Belvès,14439.333333,18687.801987
15130,Montchamp,14450.666667,18692.766897
