bv2012_code,bv2012_name,com_uu2020_status
50341,Montebourg,hors unité urbaine
50218,Granville,hors unité urbaine
50129,Cherbourg-en-Cotentin,hors unité urbaine
50402,Les Pieux,hors unité urbaine
50615,Valognes,unité urbaine
51030,Ay,hors unité urbaine
51388,Mourmelon-le-Grand,hors unité urbaine
51108,Châlons-en-Champagne,hors unité urbaine
51454,Reims,hors unité urbaine
51217,Dormans,hors unité urbaine
51612,Vertus,hors unité urbaine
10323,Romilly-sur-Seine,hors unité urbaine
51250,Fismes,hors unité urbaine
51559,Suippes,hors unité urbaine
51230,Épernay,hors unité urbaine
51612,Vertus,hors unité urbaine
51507,Sainte-Menehould,hors unité urbaine
51380,Montmirail,hors unité urbaine
51454,Reims,hors unité urbaine
51559,Suippes,hors unité urbaine
51649,Vitry-le-François,hors unité urbaine
51108,Châlons-en-Champagne,hors unité urbaine
51380,Montmirail,hors unité urbaine
51230,Épernay,hors unité urbaine
51454,Reims,hors unité urbaine
51649,Vitry-le-François,hors unité urbaine
51250,Fismes,hors unité urbaine
51454,Reims,hors unité urbaine
51535,Sézanne,hors unité urbaine
51230,Épernay,unité urbaine
52121,Chaumont,hors unité urbaine
52121,Chaumont,hors unité urbaine
52269,Langres,hors unité urbaine
52060,Bourbonne-les-Bains,hors unité urbaine
10033,Bar-sur-Aube,hors unité urbaine
52060,Bourbonne-les-Bains,hors unité urbaine
52121,Chaumont,hors unité urbaine
10268,Nogent-sur-Seine,hors unité urbaine
75056,Paris,unité urbaine
75056,Paris,hors unité urbaine
77182,La Ferté-Gaucher,hors unité urbaine
75056,Paris,unité urbaine
77192,Fontenay-Trésigny,unité urbaine
77118,Claye-Souilly,hors unité urbaine
45258,Puiseaux,hors unité urbaine
77327,Nangis,hors unité urbaine
77182,La Ferté-Gaucher,hors unité urbaine
77051,Bray-sur-Seine,hors unité urbaine
51380,Montmirail,hors unité urbaine
77379,Provins,hors unité urbaine
45191,Malesherbes,unité urbaine
77257,Lizy-sur-Ourcq,hors unité urbaine
45258,Puiseaux,hors unité urbaine
77131,Coulommiers,unité urbaine
77183,La Ferté-sous-Jouarre,unité urbaine
77182,La Ferté-Gaucher,hors unité urbaine
77379,Provins,hors unité urbaine
77257,Lizy-sur-Ourcq,hors unité urbaine
77305,Montereau-Fault-Yonne,hors unité urbaine
77192,Fontenay-Trésigny,hors unité urbaine
78310,Houdan,hors unité urbaine
75056,Paris,hors unité urbaine
78380,Maule,unité urbaine
27681,Vernon,hors unité urbaine
75056,Paris,unité urbaine
75056,Paris,unité urbaine
75056,Paris,unité urbaine
75056,Paris,unité urbaine
75056,Paris,unité urbaine
75056,Paris,unité urbaine
75056,Paris,unité urbaine
75056,Paris,hors unité urbaine
60395,Méru,hors unité urbaine
75056,Paris,hors unité urbaine
75056,Paris,hors unité urbaine
95355,Magny-en-Vexin,hors unité urbaine
95487,Persan - Beaumont-sur-Oise,hors unité urbaine
75056,Paris,hors unité urbaine
97105,Basse-Terre,unité urbaine
97112,Grand-Bourg,unité urbaine
97302,Cayenne,unité urbaine
97416,Saint-Pierre,unité urbaine
08105,Charleville-Mézières,hors unité urbaine
08185,Fumay,hors unité urbaine
08362,Rethel,hors unité urbaine
08105,Charleville-Mézières,unité urbaine
08185,Fumay,hors unité urbaine
08490,Vouziers,hors unité urbaine
52353,Nogent,unité urbaine
52269,Langres,hors unité urbaine
88321,Neufchâteau,hors unité urbaine
52197,Fayl-Billot,hors unité urbaine
53152,Meslay-du-Maine,hors unité urbaine
53188,Renazé,hors unité urbaine
53130,Laval,hors unité urbaine
53003,Ambrières-les-Vallées,hors unité urbaine
53147,Mayenne,unité urbaine
53185,Pré-en-Pail,hors unité urbaine
53147,Mayenne,hors unité urbaine
53097,Évron,hors unité urbaine
54431,Pont-à-Mousson,hors unité urbaine
57630,Sarrebourg,hors unité urbaine
57630,Sarrebourg,hors unité urbaine
54039,Baccarat,hors unité urbaine
54395,Nancy,hors unité urbaine
54528,Toul,hors unité urbaine
54329,Lunéville,hors unité urbaine
54431,Pont-à-Mousson,hors unité urbaine
54528,Toul,unité urbaine
54159,Dombasle-sur-Meurthe,hors unité urbaine
57630,Sarrebourg,hors unité urbaine
54395,Nancy,unité urbaine
54397,Neuves-Maisons,hors unité urbaine
54322,Longuyon,hors unité urbaine
54395,Nancy,unité urbaine
54563,Vézelise,hors unité urbaine
54039,Baccarat,hors unité urbaine
88090,Charmes,hors unité urbaine
54563,Vézelise,hors unité urbaine
54329,Lunéville,hors unité urbaine
54431,Pont-à-Mousson,hors unité urbaine
09122,Foix,hors unité urbaine
09032,Ax-les-Thermes,hors unité urbaine
09225,Pamiers,hors unité urbaine
10033,Bar-sur-Aube,hors unité urbaine
10034,Bar-sur-Seine,hors unité urbaine
10033,Bar-sur-Aube,hors unité urbaine
10268,Nogent-sur-Seine,hors unité urbaine
10064,Brienne-le-Château,hors unité urbaine
10323,Romilly-sur-Seine,hors unité urbaine
10034,Bar-sur-Seine,hors unité urbaine
10033,Bar-sur-Aube,hors unité urbaine
10387,Troyes,unité urbaine
10006,Arcis-sur-Aube,hors unité urbaine
10323,Romilly-sur-Seine,hors unité urbaine
10003,Aix-en-Othe,hors unité urbaine
10064,Brienne-le-Château,hors unité urbaine
66171,Saint-Cyprien,unité urbaine
66088,Ille-sur-Têt,hors unité urbaine
66149,Prades,hors unité urbaine
66180,Saint-Laurent-de-la-Salanque,unité urbaine
67520,Wasselonne,hors unité urbaine
67105,Drulingen,hors unité urbaine
67067,Brumath,hors unité urbaine
67067,Brumath,unité urbaine
67066,La Broque,unité urbaine
67544,Wissembourg,hors unité urbaine
67437,Saverne,hors unité urbaine
67180,Haguenau,unité urbaine
67028,Benfeld,unité urbaine
67482,Strasbourg,unité urbaine
67507,Villé,hors unité urbaine
67067,Brumath,hors unité urbaine
67388,Reichshoffen - Niederbronn-les-Bains,hors unité urbaine
67061,Bouxwiller,hors unité urbaine
67462,Sélestat,hors unité urbaine
67520,Wasselonne,hors unité urbaine
67474,Soultz-sous-Forêts,hors unité urbaine
67474,Soultz-sous-Forêts,hors unité urbaine
67066,La Broque,hors unité urbaine
67474,Soultz-sous-Forêts,hors unité urbaine
67482,Strasbourg,unité urbaine
68352,Neuf-Brisach,hors unité urbaine
68068,Dannemarie,hors unité urbaine
68269,Ribeauvillé,unité urbaine
68298,Sainte-Marie-aux-Mines,unité urbaine
68287,Rouffach,unité urbaine
68224,Mulhouse,unité urbaine
68226,Munster,hors unité urbaine
68226,Munster,unité urbaine
68292,Saint-Amarin,hors unité urbaine
68004,Altkirch,hors unité urbaine
68066,Colmar,hors unité urbaine
68201,Masevaux,unité urbaine
